title,genre,release_year,budget_mln,revenue_mln,rating_imdb,runtime_min,vote_count
Movie_0000,Thriller,2021,53.72,92.83,6.6,93,1656
Movie_0001,Horror,2016,10.95,10.56,5.1,102,647
Movie_0002,Sci-Fi,2008,102.33,123.19,7.3,138,638
Movie_0003,Thriller,2000,,262.68,6.4,86,1702
Movie_0004,Drama,2020,23.3,8.93,5.5,137,7838
Movie_0005,Animation,2019,93.41,323.34,6.4,98,11996
Movie_0006,Sci-Fi,2012,33.69,,3.7,131,1415
Movie_0007,Sci-Fi,2015,181.67,88.0,4.9,76,528
Movie_0008,Thriller,2012,67.04,53.27,4.3,116,4454
Movie_0009,Comedy,2013,169.32,915.75,6.3,90,866
Movie_0010,Drama,2002,15.63,20.28,7.6,76,1370
Movie_0011,Thriller,2005,47.67,151.33,8.4,109,21761
Movie_0012,Drama,2017,24.42,22.11,,125,10307
Movie_0013,Drama,2018,70.65,245.13,6.4,88,3778
Movie_0014,Animation,2004,83.39,155.96,3.7,75,442
Movie_0015,Sci-Fi,2014,125.01,969.96,5.3,103,4093
Movie_0016,Horror,2001,24.39,26.63,4.7,103,14676
Movie_0017,Animation,2009,104.49,271.12,5.2,115,1696
Movie_0018,Animation,2023,62.97,104.9,5.6,123,22621
Movie_0019,Drama,2017,23.36,103.58,5.0,103,20725
Movie_0020,Romance,2012,59.01,28.54,3.4,142,36156
Movie_0021,Sci-Fi,2004,43.99,155.36,6.6,109,4711
Movie_0022,Comedy,2022,33.37,33.44,4.3,98,7194
Movie_0023,Animation,2023,51.4,79.9,6.0,72,24866
Movie_0024,Horror,2000,39.02,94.85,8.1,99,5831
Movie_0025,Romance,2021,7.39,11.28,4.4,98,1405
Movie_0026,Romance,2000,15.99,10.0,2.5,124,1521
Movie_0027,Comedy,2017,40.57,71.93,5.3,114,4263
Movie_0028,Animation,2014,314.89,2000.0,8.1,81,430
Movie_0029,Horror,2016,14.23,75.06,7.9,108,2404
Movie_0030,Sci-Fi,2010,64.14,164.96,4.3,118,15441
Movie_0031,Action,2020,360.31,495.25,7.5,135,111
Movie_0032,Horror,2021,4.71,,5.0,122,29783
Movie_0033,Comedy,2016,5.17,18.09,5.4,120,16051
Movie_0034,Romance,2012,35.55,189.44,8.8,106,1495
Movie_0035,Sci-Fi,2000,66.92,274.36,4.0,112,6735
Movie_0036,Horror,2001,6.63,6.17,5.8,129,2995
Movie_0037,Action,2008,140.99,208.77,6.6,78,18863
Movie_0038,Action,2002,,43.94,7.2,98,13017
Movie_0039,Drama,2000,12.74,13.94,5.7,89,364
Movie_0040,Drama,2020,7.18,28.54,5.9,112,7193
Movie_0041,Thriller,2015,80.39,77.68,5.4,129,2189
Movie_0042,Comedy,2022,50.47,148.7,6.0,93,3375
Movie_0043,Animation,2005,83.14,104.32,5.4,70,999
Movie_0044,Horror,2016,65.72,157.34,6.5,96,41036
Movie_0045,Horror,2004,6.37,3.17,5.1,123,14187
Movie_0046,Animation,2004,26.56,47.74,6.1,115,982
Movie_0047,Thriller,2005,23.0,2.38,5.6,113,402
Movie_0048,Romance,2002,24.1,38.89,6.9,99,1671
Movie_0049,Romance,2020,30.37,10.7,5.6,79,5720
Movie_0050,Thriller,2022,32.98,94.02,3.5,115,4274
Movie_0051,Romance,2004,33.13,,7.1,88,19529
Movie_0052,Drama,2020,7.35,13.65,4.4,148,9748
